Data,Shaming
ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohio ohioohio ohio ohio ohio ohio ohio,not body shaming
bonjour sirine je pense que si ton professeur ne te ra pond pas ca est qua il y a une raison ce genre da action est irrespectueuse su out quand ton travail a a ta rendu enretard a la avenir ta che da a tre plus patiente bien a toi mme richa ,not body shaming
bonjour monsieur albe je vous envoie un message car je ne comprend pas lexercice que vous nous avez donna a faire pour le vendredi dans cetteexercice il nous est demander de ra fla chir a l origine des ra gle devons nousma tre notre ida e par a crit ou juste y ra fla chir cordialement alix heuninck ,not body shaming
ok,not body shaming
merci,not body shaming
 photo a tape photo a tape ,not body shaming
bonjour je ra cupa re a la rentra e,not body shaming
ja ai ra eu une me heure de col ou me,not body shaming
gwendoline remi toi et moi,not body shaming
je vais a bethune du coup je change de colla ge,not body shaming
et ja apprends aussi les maths pour aujourda hui,not body shaming
ca est quoi la fiche a relire pour demain ,not body shaming
pardon je voulais dire kalimat,not body shaming
